step,energy_eV,temperature_K
869,-812.27252197,161.6636
870,-812.41217041,168.5985
871,-812.50036621,173.4388
872,-812.54711914,176.6976
873,-812.59564209,179.9688
874,-812.66967773,182.1736
875,-812.71228027,185.8271
876,-812.66943359,182.2851
877,-812.56982422,176.9927
878,-812.48266602,172.3763
879,-812.47149658,170.5299
880,-812.50427246,174.0223
881,-812.51593018,174.7700
882,-812.52368164,175.1401
883,-812.57177734,178.3296
884,-812.64892578,183.4547
885,-812.68200684,186.4145
886,-812.65441895,185.1705
887,-812.61785889,182.4208
888,-812.60998535,183.9671
889,-812.61401367,185.2414
890,-812.60400391,183.1926
891,-812.57006836,182.1874
892,-812.55603027,181.5250
893,-812.62182617,186.4992
894,-812.73577881,192.8584
895,-812.78289795,195.0978
896,-812.72808838,192.5738
897,-812.67456055,189.2620
898,-812.70300293,190.9291
899,-812.73272705,192.7505
900,-812.67309570,189.9973
901,-812.54986572,181.7389
902,-812.43994141,175.6503
903,-812.43780518,176.8848
904,-812.50677490,179.8958
905,-812.52740479,181.0364
906,-812.47222900,179.0556
907,-812.42425537,176.1086
908,-812.45947266,179.4309
909,-812.52294922,183.6238
910,-812.50952148,182.4627
911,-812.39276123,174.7358
912,-812.26983643,167.7801
913,-812.24603271,165.6151
914,-812.29040527,168.0467
915,-812.30657959,169.0426
916,-812.29174805,168.7527
917,-812.32159424,171.0454
918,-812.45129395,179.6588
919,-812.62554932,188.7911
920,-812.71826172,193.0667
921,-812.69128418,192.5499
922,-812.63665771,189.6243
923,-812.64648438,190.1227
924,-812.67456055,191.0678
925,-812.61212158,186.8760
926,-812.46356201,178.4662
927,-812.37420654,174.1802
928,-812.44012451,179.2007
929,-812.56036377,186.7665
930,-812.61968994,190.4674
931,-812.58392334,187.0179
932,-812.53039551,182.1798
933,-812.52563477,181.2800
934,-812.53881836,182.4957
935,-812.48736572,177.1040
936,-812.33294678,166.0924
937,-812.16040039,156.6685
938,-812.09228516,153.1071
939,-812.13104248,155.9719
940,-812.19018555,157.5690
941,-812.19769287,157.3562
942,-812.16986084,157.4995
943,-812.16827393,159.2535
944,-812.25598145,164.4226
945,-812.39807129,171.8752
946,-812.47192383,175.6993
947,-812.41644287,172.4666
948,-812.32220459,168.0486
949,-812.30676270,166.8124
950,-812.40936279,173.4509
951,-812.54699707,180.5414
952,-812.56939697,181.6761
953,-812.47192383,177.1410
954,-812.42681885,175.4211
955,-812.52386475,182.3703
956,-812.67248535,191.4182
957,-812.68902588,192.4640
958,-812.53765869,182.7691
959,-812.34844971,174.6804
960,-812.31799316,173.3014
961,-812.48529053,182.3941
962,-812.63806152,189.1880
963,-812.56842041,185.6459
964,-812.38916016,177.0481
965,-812.34027100,174.2297
966,-812.50030518,184.4507
967,-812.67364502,194.2845
968,-812.64581299,193.7687
969,-812.41442871,181.0716
970,-812.19586182,168.0832
971,-812.20086670,168.7146
972,-812.37329102,178.6381
973,-812.44580078,181.8835
974,-812.30944824,173.7365
975,-812.12182617,162.7532
976,-812.12036133,162.8963
977,-812.31542969,173.7511
978,-812.46734619,182.9046
979,-812.40557861,178.8923
980,-812.21813965,169.4256
981,-812.10198975,161.4742
982,-812.14910889,164.0296
983,-812.27471924,172.2197
984,-812.33215332,177.1103
985,-812.27203369,175.1378
986,-812.20977783,173.1091
987,-812.28338623,177.9409
988,-812.48583984,189.0451
989,-812.63159180,196.7277
990,-812.62677002,196.9243
991,-812.52056885,191.7408
992,-812.40075684,184.3654
993,-812.35125732,181.8735
